id;N. PG Atto;Anno PG Atto;Classificazione incarico;Descrizione incarico;Data inizio incarico;Data fine incarico;Durata incarico (gg);Compenso previsto (Euro);Struttura conferente;Responsabile della struttura conferente
65;54391;2017;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2017-03-15;2017-03-31;;927.22;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
67;17299;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-02-23;2015-03-14;;697.2;SETTORE STATISTICA;DR. FRANCO CHIARINI
68;54391;2017;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2017-03-15;2017-03-31;;927.22;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
69;17299;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-02-23;2015-03-14;;697.2;SETTORE STATISTICA;DR. FRANCO CHIARINI
70;17299;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-02-23;2015-03-14;;697.2;SETTORE STATISTICA;DR. FRANCO CHIARINI
73;54391;2017;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2017-03-15;2017-03-31;;927.22;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
78;17299;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-02-23;2015-03-14;;697.2;SETTORE STATISTICA;DR. FRANCO CHIARINI
80;17299;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-02-23;2015-03-14;;697.2;SETTORE STATISTICA;DR. FRANCO CHIARINI
84;76901;2023;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2023-08-02;2023-12-22;;2496.88;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
94;;;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2020-03-31;2020-03-31;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;DANIELA GEMELLI
97;;;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2020-07-04;2020-04-07;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;DANIELA GEMELLI
100;26271;2022;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2022-10-02;2022-02-10;;0.0;AREA PERSONALE E ORGANIZZAZIONE;Daniela Gemelli
101;26271;2022;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2022-02-14;2022-02-16;;0.0;AREA PERSONALE E ORGANIZZAZIONE;DANIELA GEMELLI
102;26271;2022;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2022-02-21;2022-02-23;;0.0;AREA PERSONALE E ORGANIZZAZIONE;Daniela Gemelli
108;26271;2022;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2022-03-17;2022-03-17;;0.0;AREA PERSONALE E ORGANIZZAZIONE;Daniela Gemelli
109;26271;2022;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2022-03-28;2022-02-28;;0.0;AREA PERSONALE E ORGANIZZAZIONE;Daniela Gemelli
111;101769;2019;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-03-15;2019-11-15;;1269.73;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
112;101769;2019;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-03-15;2019-11-15;;1269.73;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
114;101769;2019;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-03-15;2019-11-15;;1269.73;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
117;101769;2019;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-03-15;2019-11-15;;1269.73;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
124;595674;2023;Z1;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2023-02-10;2023-12-22;;1627.91;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
126;595674;2023;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2023-02-10;2023-12-22;;1627.91;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
131;102329;2019;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-08-04;2019-05-10;;735.73;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
135;102329;2019;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-08-04;2019-05-10;;735.73;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
140;87521;2017;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2017-03-21;2017-03-30;4;0.0;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
143;63160;2016;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2016-07-03;2016-03-26;;886.44;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
145;63160;2016;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2016-07-03;2016-03-26;;886.44;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
146;63160;2016;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2016-07-03;2016-03-26;;886.44;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
149;63160;2016;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2016-07-03;2016-03-26;;886.44;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
150;63160;2016;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2016-07-03;2016-03-26;;886.44;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
153;70516;2018;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-03-26;2018-04-20;;984.93;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
156;70516;2018;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-03-26;2018-04-20;;984.93;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
157;70516;2018;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-03-26;2018-04-20;;984.93;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
161;60916;2015;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-03-13;2015-03-18;3;0.0;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
169;114507;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-05-16;2019-05-16;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
170;114507;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-09-05;2019-05-09;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
175;114507;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-05-13;2019-05-13;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
179;151155;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-04-06;2019-06-05;2;0.0;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
182;151155;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-04-17;2019-06-06;2;247.6;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
184;151155;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-05-23;2019-05-23;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
186;151155;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-06-17;2019-06-17;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
199;326529;2025;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2025-03-06;2025-07-31;;407.52;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
210;326529;2025;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2025-03-06;2025-07-31;;407.52;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DOTT.SSA SILVIA MARREDDU
211;183486;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-06-18;2019-06-18;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
215;177723;2022;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2022-04-21;2022-05-21;;843.71;AREA PROGRAMMAZIONE E CONTROLLI;DR.SSA SILVIA MARREDDU
220;183486;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-05-06;2019-06-06;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
223;183486;2019;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-11-06;2019-06-11;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
229;348095;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-05-22;2024-08-04;;502.06;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
234;348095;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-05-22;2024-08-04;;502.06;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
235;348095;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-05-22;2024-08-04;;502.06;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
236;348095;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-05-22;2024-08-04;;502.06;AREA PROGRAMMAZIONE E STATISTICA;DR.SSA SILVIA MARREDDU
